staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio_wait_based,stage_target,gap_slowdown_ms,gap_slowdown_pct,net_stage_cost_ms,effective_overlap_wall_clock
none,8,2048,31,2083,29,18,5.436416149139404,,1.5697920322418213,,,,NONE,,,,
none,8,2048,31,2083,40,29,5.470208168029785,,1.5749119520187378,,,,NONE,,,,
dequant,8,2048,0,2052,7,,5.12716817855835,0.4710400104522705,1.6097279787063599,0.020479999482631683,10.88478274623738,0.9565217411935607,KV,0.6205439567565918,13.769596181429499,0.6205439567565918,0.0
dequant,8,2048,0,2052,18,7,5.91871976852417,0.4055039882659912,1.5820800065994263,0.01945599913597107,14.59595944748581,0.9520202027625709,KV,0.4710397720336914,8.646612362274327,0.4710397720336914,0.0
dequant,8,2048,0,2052,29,18,5.912576198577881,0.4055039882659912,1.598464012145996,0.01945599913597107,14.58080899243712,0.9520202027625709,KV,0.4505600929260254,8.248970420643863,0.4505600929260254,0.0
dequant,8,2048,0,2052,40,29,5.909503936767578,0.4065279960632324,1.5708160400390625,0.021503999829292297,14.536523914698359,0.9471032744668647,KV,0.43929576873779297,8.03069563796902,0.43929576873779297,0.0
dequant,8,2048,1,2053,7,,6.955008029937744,2.495487928390503,1.5841280221939087,0.01945599913597107,2.7870333295595087,0.9922035290515232,KV,2.579455852508545,58.95155052234051,2.579455852508545,0.0
dequant,8,2048,1,2053,18,7,5.891071796417236,0.40038400888442993,1.5769599676132202,0.020479999482631683,14.713554152253076,0.948849107286542,KV,0.4321279525756836,7.915962591613466,0.4321279525756836,0.0
dequant,8,2048,1,2053,29,18,5.871615886688232,0.40038400888442993,1.5534080266952515,0.020479999482631683,14.664961028408761,0.948849107286542,KV,0.4679679870605469,8.660223533305901,0.4679679870605469,0.0
dequant,8,2048,1,2053,40,29,5.950463771820068,0.40038400888442993,1.5738879442214966,0.021503999829292297,14.861891683435484,0.9462915617204398,KV,0.48332786560058594,8.840604548548832,0.48332786560058594,0.0
dequant,8,2048,2,2054,7,,6.871039867401123,2.3398399353027344,1.5820800065994263,0.01945599913597107,2.9365426941104547,0.9916849016710821,KV,2.554879665374756,59.19334653461846,2.554879665374756,0.0
dequant,8,2048,2,2054,18,7,5.8664960861206055,0.40038400888442993,1.5534080266952515,0.020479999482631683,14.652173803010095,0.948849107286542,KV,0.40960025787353516,7.506103667093676,0.40960025787353516,0.0
dequant,8,2048,2,2054,29,18,5.86956787109375,0.40140798687934875,1.5738879442214966,0.020479999482631683,14.622449136414335,0.9489795914579364,KV,0.41983985900878906,7.7038681210838345,0.41983985900878906,0.0
dequant,8,2048,2,2054,40,29,5.909503936767578,0.40038400888442993,1.5800319910049438,0.020479999482631683,14.75959030739748,0.948849107286542,KV,0.5007357597351074,9.257852127244192,0.5007357597351074,0.0
dequant,8,2048,3,2055,7,,6.763519763946533,2.3162879943847656,1.5861760377883911,0.020479999482631683,2.9199822217025333,0.9911582672222625,KV,2.457599639892578,57.07490081304126,2.457599639892578,0.0
dequant,8,2048,3,2055,18,7,5.91871976852417,0.40038400888442993,1.5708160400390625,0.020479999482631683,14.782607789494902,0.948849107286542,KV,0.47411155700683594,8.707909524213642,0.47411155700683594,0.0
dequant,8,2048,3,2055,29,18,5.922815799713135,0.40038400888442993,1.5718400478363037,0.020479999482631683,14.792838046193658,0.948849107286542,KV,0.45465564727783203,8.314600059315131,0.45465564727783203,0.0
dequant,8,2048,3,2055,40,29,5.899263858795166,0.40038400888442993,1.5646719932556152,0.020479999482631683,14.734014665650589,0.948849107286542,KV,0.4628477096557617,8.513838840851642,0.4628477096557617,0.0
dequant,8,2048,4,2056,7,,6.812672138214111,2.3736319541931152,1.5656960010528564,0.021503999829292297,2.8701467917885313,0.990940465815981,KV,2.4924159049987793,57.69139075215938,2.4924159049987793,0.0
dequant,8,2048,4,2056,18,7,5.844992160797119,0.40140798687934875,1.5626239776611328,0.020479999482631683,14.561225366335197,0.9489795914579364,KV,0.3768320083618164,6.8913857285981335,0.3768320083618164,0.06122443827934887
dequant,8,2048,4,2056,29,18,5.859327793121338,0.40140798687934875,1.5595519542694092,0.020479999482631683,14.596938737251575,0.9489795914579364,KV,0.3379197120666504,6.120172736844723,0.3379197120666504,0.15816395509783676
dequant,8,2048,4,2056,40,29,5.932032108306885,0.40140798687934875,1.556480050086975,0.020479999482631683,14.778061977351427,0.9489795914579364,KV,0.5273599624633789,9.75748293759036,0.5273599624633789,0.0
dequant,8,2048,5,2057,7,,6.718463897705078,2.3009281158447266,1.5595519542694092,0.020479999482631683,2.9198929994553815,0.99109924410867,KV,2.3705596923828125,54.521893317727944,2.3705596923828125,0.0
dequant,8,2048,5,2057,18,7,5.859327793121338,0.40038400888442993,1.5718400478363037,0.020479999482631683,14.634270258312492,0.948849107286542,KV,0.37888002395629883,6.913304166276585,0.37888002395629883,0.0537084010623865
dequant,8,2048,5,2057,29,18,5.87059211730957,0.40038400888442993,1.5820800065994263,0.020479999482631683,14.662404059708852,0.948849107286542,KV,0.42700815200805664,7.844246634751875,0.42700815200805664,0.0
dequant,8,2048,5,2057,40,29,5.854207992553711,0.40038400888442993,1.5667200088500977,0.020479999482631683,14.621483032913826,0.948849107286542,KV,0.3942399024963379,7.220553233896193,0.3942399024963379,0.015345533916829135
dequant,8,2048,6,2058,7,,6.809599876403809,2.3009281158447266,1.563647985458374,0.01945599913597107,2.9595013549147056,0.9915442820651403,KV,2.465791702270508,56.765667437938724,2.465791702270508,0.0
dequant,8,2048,6,2058,18,7,5.876736164093018,0.40038400888442993,1.563647985458374,0.020479999482631683,14.677749444756985,0.948849107286542,KV,0.37068796157836914,6.732377704377407,0.37068796157836914,0.07416891445989915
dequant,8,2048,6,2058,29,18,5.846015930175781,0.40243199467658997,1.5697920322418213,0.020479999482631683,14.526717575907123,0.9491094153706884,KV,0.3850240707397461,7.050442129381018,0.3850240707397461,0.043256809018958786
dequant,8,2048,6,2058,40,29,5.853184223175049,0.40140798687934875,1.5544320344924927,0.01945599913597107,14.581633685665405,0.9515306128130954,KV,0.41062402725219727,7.54468508331438,0.41062402725219727,0.0
dequant,8,2048,7,2059,7,,6.707200050354004,2.30297589302063,1.575935959815979,0.027648000046610832,2.912405670715339,0.9879946637173231,KV,2.3500800132751465,53.93654508657305,2.3500800132751465,0.0
dequant,8,2048,7,2059,18,7,6.136832237243652,0.40038400888442993,1.5831040143966675,0.01945599913597107,15.327365981329782,0.9514066528526443,KV,0.7301120758056641,13.503788877645206,0.7301120758056641,0.0
dequant,8,2048,7,2059,29,18,5.858304023742676,0.40140798687934875,1.556480050086975,0.020479999482631683,14.594388291291041,0.9489795914579364,KV,0.38912010192871094,7.114774479912745,0.38912010192871094,0.030611959284036816
dequant,8,2048,7,2059,40,29,5.7784318923950195,0.40140798687934875,1.5523840188980103,0.020479999482631683,14.395408365733001,0.9489795914579364,KV,0.3205118179321289,5.872416846699064,0.3205118179321289,0.20153103971878572
dequant,8,2048,8,2060,7,,6.710271835327148,2.2958080768585205,1.5605759620666504,0.020479999482631683,2.922836583321538,0.9910793939227466,KV,2.3951358795166016,55.505455773448595,2.3951358795166016,0.0
dequant,8,2048,8,2060,18,7,5.842944145202637,0.40243199467658997,1.5656960010528564,0.020479999482631683,14.519084522338375,0.9491094153706884,KV,0.4218883514404297,7.782401943287133,0.4218883514404297,0.0
dequant,8,2048,8,2060,29,18,5.8521599769592285,0.40243199467658997,1.5615999698638916,0.020479999482631683,14.541984867933406,0.9491094153706884,KV,0.4229121208190918,7.789515822910993,0.4229121208190918,0.0
dequant,8,2048,8,2060,40,29,5.961728096008301,0.40140798687934875,1.5790079832077026,0.020479999482631683,14.852041540967688,0.9489795914579364,KV,0.5130243301391602,9.415529861483044,0.5130243301391602,0.0
dequant,8,2048,9,2061,7,,6.716415882110596,2.2906880378723145,1.5667200088500977,0.020479999482631683,2.9320517552224525,0.9910594550004049,KV,2.349055767059326,53.78662865385787,2.349055767059326,0.0
dequant,8,2048,9,2061,18,7,5.831679821014404,0.40140798687934875,1.558527946472168,0.020479999482631683,14.528061253467866,0.9489795914579364,KV,0.39935970306396484,7.351549510941548,0.39935970306396484,0.005102748032762894
dequant,8,2048,9,2061,29,18,5.8368000984191895,0.40243199467658997,1.556480050086975,0.020479999482631683,14.503817230312091,0.9491094153706884,KV,0.38297605514526367,7.022156419174894,0.38297605514526367,0.04834590636105329
dequant,8,2048,9,2061,40,29,5.813248157501221,0.40140798687934875,1.5677440166473389,0.020479999482631683,14.482143722886384,0.9489795914579364,KV,0.30412817001342773,5.5204491952282355,0.30412817001342773,0.24234649046771561
dequant,8,2048,10,2062,7,,6.7348480224609375,2.2814719676971436,1.5523840188980103,0.021503999829292297,2.951974916991381,0.9905745062250325,KV,2.3787522315979004,54.60743624112586,2.3787522315979004,0.0
dequant,8,2048,10,2062,18,7,5.837823867797852,0.40243199467658997,1.5697920322418213,0.020479999482631683,14.506361186538745,0.9491094153706884,KV,0.41062402725219727,7.566038460284758,0.41062402725219727,0.0
dequant,8,2048,10,2062,29,18,5.865471839904785,0.40243199467658997,1.5656960010528564,0.01945599913597107,14.575063408212626,0.9516539455278483,KV,0.3962879180908203,7.2458327193974394,0.3962879180908203,0.015267366081832767
