staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio,stage_target,gap_slowdown_pct
none,8,2048,6,2058,7,,4.3673601150512695,,1.563647985458374,,,,NONE,
none,8,2048,6,2058,18,7,5.451776027679443,,1.5677440166473389,,,,NONE,
none,8,2048,6,2058,29,18,5.460991859436035,,1.5677440166473389,,,,NONE,
none,8,2048,6,2058,40,29,5.384191989898682,,1.435647964477539,,,,NONE,
none,8,2048,7,2059,7,,4.315135955810547,,1.4254080057144165,,,,NONE,
none,8,2048,7,2059,18,7,5.406720161437988,,1.5718400478363037,,,,NONE,
none,8,2048,7,2059,29,18,5.3882880210876465,,1.572864055633545,,,,NONE,
none,8,2048,7,2059,40,29,5.427199840545654,,1.5667200088500977,,,,NONE,
none,8,2048,8,2060,7,,4.349952220916748,,1.4366719722747803,,,,NONE,
none,8,2048,8,2060,18,7,5.458943843841553,,1.439743995666504,,,,NONE,
none,8,2048,8,2060,29,18,5.426176071166992,,1.4387199878692627,,,,NONE,
none,8,2048,8,2060,40,29,5.371903896331787,,1.5697920322418213,,,,NONE,
none,8,2048,9,2061,7,,4.354047775268555,,1.5656960010528564,,,,NONE,
none,8,2048,9,2061,18,7,5.411839962005615,,1.4243839979171753,,,,NONE,
none,8,2048,9,2061,29,18,5.379072189331055,,1.5708160400390625,,,,NONE,
none,8,2048,9,2061,40,29,5.416959762573242,,1.4305280447006226,,,,NONE,
none,8,2048,10,2062,7,,4.385791778564453,,1.4387199878692627,,,,NONE,
none,8,2048,10,2062,18,7,5.4128642082214355,,1.4376959800720215,,,,NONE,
none,8,2048,10,2062,29,18,5.402624130249023,,1.5872000455856323,,,,NONE,
none,8,2048,10,2062,40,29,5.384191989898682,,1.5769599676132202,,,,NONE,
none,8,2048,11,2063,7,,4.3724799156188965,,4.85478401184082,,,,NONE,
none,8,2048,11,2063,18,7,5.496831893920898,,1.5790079832077026,,,,NONE,
none,8,2048,11,2063,29,18,5.495808124542236,,1.5575040578842163,,,,NONE,
none,8,2048,11,2063,40,29,5.431295871734619,,1.572864055633545,,,,NONE,
none,8,2048,12,2064,7,,4.385791778564453,,1.5800319910049438,,,,NONE,
none,8,2048,12,2064,18,7,5.623807907104492,,1.4428160190582275,,,,NONE,
none,8,2048,12,2064,29,18,5.400576114654541,,1.4284800291061401,,,,NONE,
none,8,2048,12,2064,40,29,5.393407821655273,,1.439743995666504,,,,NONE,
none,8,2048,13,2065,7,,4.425727844238281,,1.5677440166473389,,,,NONE,
none,8,2048,13,2065,18,7,5.4323201179504395,,1.5697920322418213,,,,NONE,
none,8,2048,13,2065,29,18,5.405695915222168,,1.4376959800720215,,,,NONE,
none,8,2048,13,2065,40,29,5.385216236114502,,1.5749119520187378,,,,NONE,
none,8,2048,14,2066,7,,4.386816024780273,,1.56876802444458,,,,NONE,
none,8,2048,14,2066,18,7,5.411839962005615,,1.427456021308899,,,,NONE,
none,8,2048,14,2066,29,18,5.47430419921875,,1.5605759620666504,,,,NONE,
none,8,2048,14,2066,40,29,5.394432067871094,,1.4335999488830566,,,,NONE,
none,8,2048,15,2067,7,,4.362239837646484,,1.5697920322418213,,,,NONE,
none,8,2048,15,2067,18,7,5.445631980895996,,1.58515202999115,,,,NONE,
none,8,2048,15,2067,29,18,5.420032024383545,,1.5738879442214966,,,,NONE,
none,8,2048,15,2067,40,29,5.416959762573242,,1.4387199878692627,,,,NONE,
none,8,2048,16,2068,7,,4.379648208618164,,1.5718400478363037,,,,NONE,
none,8,2048,16,2068,18,7,5.426176071166992,,1.5718400478363037,,,,NONE,
none,8,2048,16,2068,29,18,5.455872058868408,,1.4335999488830566,,,,NONE,
none,8,2048,16,2068,40,29,5.396480083465576,,1.5523840188980103,,,,NONE,
none,8,2048,17,2069,7,,4.35916805267334,,1.5646719932556152,,,,NONE,
none,8,2048,17,2069,18,7,5.363711833953857,,1.5605759620666504,,,,NONE,
none,8,2048,17,2069,29,18,6.17471981048584,,1.5872000455856323,,,,NONE,
none,8,2048,17,2069,40,29,5.414912223815918,,1.5738879442214966,,,,NONE,
none,8,2048,18,2070,7,,4.376575946807861,,1.575935959815979,,,,NONE,
none,8,2048,18,2070,18,7,5.51526403427124,,1.581055998802185,,,,NONE,
