staging_mode,batch_size,context_length,decode_step,decode_position,layer_id,layer_type,elapsed_ms
none,8,2048,8,2060,13,mamba,0.7014399766921997
none,8,2048,8,2060,14,mlp,0.37990400195121765
none,8,2048,8,2060,15,mamba,0.6860799789428711
none,8,2048,8,2060,16,mlp,0.3901439905166626
none,8,2048,8,2060,17,mamba,0.6993920207023621
none,8,2048,8,2060,18,attention,1.7059839963912964
none,8,2048,8,2060,19,mlp,0.28467199206352234
none,8,2048,8,2060,20,mamba,0.7188479900360107
none,8,2048,8,2060,21,mlp,0.3840000033378601
none,8,2048,8,2060,22,mamba,0.6973440051078796
none,8,2048,8,2060,23,mlp,0.3819519877433777
none,8,2048,8,2060,24,mamba,0.6932479739189148
none,8,2048,8,2060,25,mlp,0.38707199692726135
none,8,2048,8,2060,26,mamba,0.6830080151557922
none,8,2048,8,2060,27,mlp,0.37990400195121765
none,8,2048,8,2060,28,mamba,0.7014399766921997
none,8,2048,8,2060,29,attention,1.7029119729995728
none,8,2048,8,2060,30,mlp,0.28467199206352234
none,8,2048,8,2060,31,mamba,0.7086079716682434
none,8,2048,8,2060,32,mlp,0.37887999415397644
none,8,2048,8,2060,33,mamba,0.711679995059967
none,8,2048,8,2060,34,mlp,0.3901439905166626
none,8,2048,8,2060,35,mamba,0.6932479739189148
none,8,2048,8,2060,36,mlp,0.37990400195121765
none,8,2048,8,2060,37,mamba,0.7137280106544495
none,8,2048,8,2060,38,mlp,0.37785598635673523
none,8,2048,8,2060,39,mamba,0.6952959895133972
none,8,2048,8,2060,40,attention,1.6998399496078491
none,8,2048,8,2060,41,mlp,0.28569599986076355
none,8,2048,8,2060,42,mamba,0.7096319794654846
none,8,2048,8,2060,43,mlp,0.3819519877433777
none,8,2048,8,2060,44,mamba,0.6973440051078796
none,8,2048,8,2060,45,mlp,0.37990400195121765
none,8,2048,8,2060,46,mamba,0.7157760262489319
none,8,2048,8,2060,47,mlp,0.37990400195121765
none,8,2048,8,2060,48,mamba,0.7045120000839233
none,8,2048,8,2060,49,mlp,0.3768320083618164
none,8,2048,8,2060,50,mamba,0.6922240257263184
none,8,2048,8,2060,51,mlp,0.37990400195121765
none,8,2048,9,2061,0,mamba,0.8436160087585449
none,8,2048,9,2061,1,mlp,0.38604798913002014
none,8,2048,9,2061,2,mamba,0.7106559872627258
none,8,2048,9,2061,3,mlp,0.38092800974845886
none,8,2048,9,2061,4,mamba,0.7004160284996033
none,8,2048,9,2061,5,mlp,0.37887999415397644
none,8,2048,9,2061,6,mamba,0.7096319794654846
none,8,2048,9,2061,7,attention,1.7018879652023315
none,8,2048,9,2061,8,mlp,0.28467199206352234
none,8,2048,9,2061,9,mamba,0.7127040028572083
none,8,2048,9,2061,10,mlp,0.3819519877433777
none,8,2048,9,2061,11,mamba,0.694271981716156
none,8,2048,9,2061,12,mlp,0.3840000033378601
none,8,2048,9,2061,13,mamba,0.7157760262489319
none,8,2048,9,2061,14,mlp,0.37785598635673523
none,8,2048,9,2061,15,mamba,0.7106559872627258
none,8,2048,9,2061,16,mlp,0.38707199692726135
none,8,2048,9,2061,17,mamba,0.6840320229530334
none,8,2048,9,2061,18,attention,1.703935980796814
none,8,2048,9,2061,19,mlp,0.2836480140686035
none,8,2048,9,2061,20,mamba,0.7270399928092957
none,8,2048,9,2061,21,mlp,0.3819519877433777
none,8,2048,9,2061,22,mamba,0.6993920207023621
none,8,2048,9,2061,23,mlp,0.38092800974845886
none,8,2048,9,2061,24,mamba,0.6922240257263184
none,8,2048,9,2061,25,mlp,0.3850240111351013
none,8,2048,9,2061,26,mamba,0.6963199973106384
none,8,2048,9,2061,27,mlp,0.38809600472450256
